60.854166 -143.54167
62.706249 -115.49583
60.589583 -100.15
58.208333 -89.302084
51.954042 -89.83125
35.532988 -89.566667
30.427083 -86.391667
30.261577 -64.966797
40.11226 -70.58208
55.84397 -72.897917
65.65044 -72.104167
76.717289 -67.371466
88.825979 -63.442558
103.02191 -60.819743
121.70833 -59.668751
134.67291 -60.462501
137.2045 -74.350308
131.7652 -78.686125
123.03125 -77.660417
112.11589 -80.302739
107.21489 -84.372719
113.21033 -103.64871
114.95576 -119.33255
114.97706 -137.08417
109.49854 -143.2698
98.40901 -143.8321
96.897487 -129.76806
94.783267 -113.11451
91.250826 -97.895848
89.429156 -88.24375
77.500933 -90.72854
78.746064 -102.79205
79.604333 -115.7488
80.490043 -131.53452
81.227072 -148.56875
74.263468 -146.1875
64.293739 -145.92292
63.029539 -145.0477

